"title","image","price","reviews","stars"
"Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant – Black","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/811YM2Go9GL._AC_UY218_.jpg","₹548₹548 ₹1,799₹1,799  (70% off)","","4.3 out of 5 stars 29,403  "
"Quantum QHM-7406 Full-Sized Keyboard with (₹) Rupee Symbol, Hotkeys and 3-pieces LED function for Desktop/Laptop/Smart TV Spill-Resistant Wired USB Keyboard with 10 million keystrokes lifespan (Black)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81XENi-IEsL._AC_UY218_.jpg","₹292₹292 ₹599₹599  (51% off)","","3.7 out of 5 stars 3,175  "
"Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81shebPwe0L._AC_UY218_.jpg","₹329₹329 ₹399₹399  (18% off)","","3.6 out of 5 stars 34,097  "
"Zebronics Zeb-Transformer Gaming Keyboard and Mouse Combo (USB, Braided Cable)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51DY+QrEpOL._AC_UY218_.jpg","₹1,329₹1,329 ₹1,599₹1,599  (17% off)","","4.3 out of 5 stars 27,543  "
"HP 150 Wired Keyboard, Quick, Comfy and Ergonomically Design, 12Fn Shortcut Keys, Plug and Play USB Connection and LED Indicator(664R5AA)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61dvBchav5L._AC_UY218_.jpg","₹700₹700 ₹1,200₹1,200  (42% off)","","4.3 out of 5 stars 24  "
"Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XlOI9x+vL._AC_UY218_.jpg","₹499₹499 ₹699₹699  (29% off)","","3.9 out of 5 stars 17,639  "
"Ant Value FKBRI05 Multimedia Wireless Keyboard & Mouse Combo, Compact Light-Weight for PCs, Laptops & Smart TV (Blue)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Nw2qtEWIL._AC_UY218_.jpg","Windows ₹649₹649 ₹1,999₹1,999  (68% off)","","3.6 out of 5 stars 83  "
"ZEBRONICS K24 USB Keyboard with Long Life 8 Million keystrokes, Silent & Comfortable use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, Chiclet Keys and UV Coated keycaps","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61jJuQHSvYL._AC_UY218_.jpg","₹349₹349 ₹799₹799  (56% off)","","3.7 out of 5 stars 166  "
"HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard, 4 LED Indicators, Mechanical Switches, Double Injection Key Caps, and Windows Lock Key(4QN01AA)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hMT1IyswL._AC_UY218_.jpg","₹1,335₹1,335 ₹3,499₹3,499  (62% off)","","4.3 out of 5 stars 465  "
"HP K500F Backlit Membrane Wired Gaming Keyboard with Mixed Color Lighting, Metal Panel with Logo Lighting, 26 Anti-Ghosting Keys, and Windows Lock Key / 3 Years Warranty(7ZZ97AA)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71f+Iz89ozL._AC_UY218_.jpg","₹1,149₹1,149 ₹1,799₹1,799  (36% off)₹804₹804 ₹1,149₹1,149  (30% off)","","4.2 out of 5 stars 4,860  "
"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/415yl0HeDQL._AC_UY218_.jpg","₹1,346₹1,346 ₹2,499₹2,499  (46% off)","","4.2 out of 5 stars 34,168  "
"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fl+k9O-FL._AC_UY218_.jpg","₹2,495₹2,495 ₹3,295₹3,295  (24% off)","","4.3 out of 5 stars 22,905  "
"Zebronics Zeb-Transformer-k USB Gaming Keyboard with Multicolor LED Effect","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81J5ij-aasL._AC_UY218_.jpg","₹899₹899 ₹1,549₹1,549  (42% off)","","4.2 out of 5 stars 2,341  "
"Redgear Blaze Semi-Mechanical wired Gaming keyboard with 3 colour backlit, full aluminium body & Windows key lock for PC ( Black )","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61M2CPqMgwL._AC_UY218_.jpg","₹899₹899 ₹1,299₹1,299  (31% off)","","4.3 out of 5 stars 8,677  "
"Logitech K380 Wireless Multi-Device Keyboard for Windows, Apple iOS, Apple TV Android or Chrome, Bluetooth, Compact Space-Saving Design, PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61+U9lMboFL._AC_UY218_.jpg","₹2,495₹2,495 ₹3,195₹3,195  (22% off)₹1,949₹1,949 ₹2,495₹2,495  (21% off)","","4.5 out of 5 stars 16,484  "
"Portronics Bubble Multimedia Wireless Keyboard 2.4 GHz & Bluetooth 5.0 Connectivity, Noiseless Experience, Compact Size, Shortcut Keys Function(Black)","https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51r3E7G78VL._AC_UY218_.jpg","₹899₹899 ₹1,999₹1,999  (55% off)","","3.9 out of 5 stars 203  "
