"title","image","price","reviews","stars"
"Infinity (JBL Fuze Pint, Wireless Ultra Portable Mini Speaker with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support for Mobiles (Black)","https://m.media-amazon.com/images/I/71K6mroOBJL._AC_UY218_.jpg","₹899₹899 ₹1,999₹1,999  (55% off)₹718₹718 ₹899₹899  (20% off)","More Buying Choices","4.1 out of 5 stars"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Green)","https://m.media-amazon.com/images/I/81U3kN9bf1L._AC_UY218_.jpg","₹549₹549 ₹999₹999  (45% off)","","3.9 out of 5 stars"
"ZEBRONICS Zeb-Astra 20 Wireless BT v5.0 Portable Speaker with 10W RMS Output, TWS, 10H Backup Approx, Built in Rechargeable Battery FM Radio, AUX, mSD, USB, Call Function and Dual 52mm Drivers Multi","https://m.media-amazon.com/images/I/71yCNxkT4GL._AC_UY218_.jpg","₹999₹999 ₹2,299₹2,299  (57% off)","","3.9 out of 5 stars"
"boAt Stone 135 Portable Wireless Speaker with 5W RMS Immersive Sound, IPX4 Water Resistance, True Wireless Feature, Up to 11H Total Playtime, Multi-Connectivity Modes(Active Black)","https://m.media-amazon.com/images/I/61BZ1cEl6oL._AC_UY218_.jpg","₹899₹899 ₹1,990₹1,990  (55% off)","","4.0 out of 5 stars"
"boAt Stone 260 4W Bluetooth Speaker with Upto 9 Hours Playback, IPX5 and Carabiner(Prism)","https://m.media-amazon.com/images/I/71zcrJSdOfL._AC_UY218_.jpg","₹999₹999 ₹2,490₹2,490  (60% off)","","4.3 out of 5 stars"
"Newly Launched pTron Musicbot Lite 5W Mini Bluetooth Speaker with 6Hrs Playtime, Immersive Sound, 40mm Driver, BT5.1 with Strong Connectivity, Portable Design, Integrated Music & Call Control (Black)","https://m.media-amazon.com/images/I/71qpDfsAI6L._AC_UY218_.jpg","₹499₹499 ₹1,600₹1,600  (69% off)","","3.4 out of 5 stars"
"boAt Stone 1000 14W Bluetooth Speaker with 8 Hours Playback, Bluetooth v5.0 & IPX5(Black)","https://m.media-amazon.com/images/I/718DqdKu9tL._AC_UY218_.jpg","₹2,499₹2,499 ₹6,990₹6,990  (64% off)₹1,999₹1,999 ₹2,499₹2,499  (20% off)","More Buying Choices","4.3 out of 5 stars"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)","https://m.media-amazon.com/images/I/81v-h4I5CCL._AC_UY218_.jpg","₹589₹589 ₹999₹999  (41% off)₹669₹669 ₹999₹999  (33% off)","More Buying Choices","3.9 out of 5 stars"
"boAt Stone 170 5W Bluetooth Speaker with Upto 6 Hours Playback, TWS Feature, IPX6, Multifunction Buttons and SD Card Slot(Electric Blue)","https://m.media-amazon.com/images/I/71C7FzVl49L._AC_UY218_.jpg","₹1,199₹1,199 ₹2,990₹2,990  (60% off)","","4.3 out of 5 stars"
"KRISONS Cylender 4” Double Woofer 30W Multi-Media Bluetooth Party Speaker with Wired Mic for Karaoke, RGB Lights, USB, SD Card and FM Radio – Black Tower Speaker","https://m.media-amazon.com/images/I/71Lis3lCyGL._AC_UY218_.jpg","₹1,599₹1,599 ₹4,999₹4,999  (68% off)","","3.4 out of 5 stars"
"10WeRun R10 Portable Bluetooth Speaker Outdoor Loudspeaker Wireless Mini Column 10W Stereo Music Support FM TF Card Bass Box","https://m.media-amazon.com/images/I/51sohJWzHNL._AC_UY218_.jpg","₹499₹499 ₹1,499₹1,499  (67% off)","","4.3 out of 5 stars"
"boAt Stone 200 3W Portable Bluetooth Speakers (Black)","https://m.media-amazon.com/images/I/81cyVGquiqL._AC_UY218_.jpg","₹999₹999 ₹2,990₹2,990  (67% off)","","4.4 out of 5 stars"
"MI Outdoor Bluetooth Speaker (5W) Up to 20 Hours Battery Life, Dynamic Sound Effect, Bluetooth 5.0, IPX5 Splash Proof, Compact & Premium Mesh Design","https://m.media-amazon.com/images/I/81N2x2qSmfL._AC_UY218_.jpg","₹999₹999 ₹1,999₹1,999  (50% off)","","4.1 out of 5 stars"
"JBL Go 3, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Vibrant Colors with Rugged Fabric Design, Waterproof, Type C (Without Mic, Black)","https://m.media-amazon.com/images/I/71fzp1etPwL._AC_UY218_.jpg","₹3,299₹3,299 ₹3,999₹3,999  (18% off)","","4.5 out of 5 stars"
"(Renewed) boAt Stone 190 Portable Wireless Speaker with 5W Premium Sound, Bluetooth V5.0, IPX7 Water & Splash Resistance, Lightweight Build, TWS Feature and Carry Strap (Black)","https://m.media-amazon.com/images/I/61SCMIqAdmL._AC_UY218_.jpg","₹1,249₹1,249 ₹1,349₹1,349  (7% off)","","4.1 out of 5 stars"
"AmazonBasics Bluetooth Speaker 5.0 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Grey)","https://m.media-amazon.com/images/I/81Oa+WnnA4L._AC_UY218_.jpg","₹1,199₹1,199 ₹2,199₹2,199  (45% off)","","4.0 out of 5 stars"
